PaymentPlan,Date,Duration,Occasion,Distance_Miles,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
Casual,2019-07-01,00:05:30,Normal Thursday,0.61,45.53027884,-122.654669,45.5222093,-122.6546327
Subscriber,2019-07-01,00:19:49,Normal Thursday,2.38,45.5033655,-122.6447314,45.51609691,-122.6790771
Casual,2019-07-01,00:17:24,Normal Thursday,2.46,45.5161463,-122.6790375,45.50356665,-122.6395279
Casual,2019-07-01,00:30:34,Normal Thursday,1.94,45.52500056,-122.6811048,45.52181825,-122.7044079
Subscriber,2019-07-01,00:04:36,Normal Thursday,0.56,45.5065432,-122.6620427,45.5115491,-122.6638444
Subscriber,2019-07-01,00:18:39,Normal Thursday,1.45,45.5193586,-122.6566872,45.5204119,-122.6778923
Casual,2019-07-01,00:30:10,Normal Thursday,4.93,45.5627189,-122.6480593,45.53550403,-122.7006608
Subscriber,2019-07-01,00:04:19,Normal Thursday,0.41,45.5555087,-122.661551,45.5591196,-122.6575537
Subscriber,2019-07-01,00:08:43,Normal Thursday,1.29,45.5154692,-122.6794042,45.50624163,-122.6633379
Casual,2019-07-01,00:16:30,Normal Thursday,1.6,45.5370647,-122.6870447,45.5212282,-122.6837964
Casual,2019-07-01,00:11:52,Normal Thursday,1.71,45.51609691,-122.6790771,45.5229602,-122.6627544
Subscriber,2019-07-01,00:16:43,Normal Thursday,2.73,45.5164587,-122.6309572,45.5174734,-122.6783165
Casual,2019-07-01,00:11:00,Normal Thursday,1.61,45.5027677,-122.6714408,45.52269573,-122.6703492
Casual,2019-07-01,00:19:30,Normal Thursday,1.93,45.5257331,-122.6372284,45.511907,-122.6294804
Subscriber,2019-07-01,00:19:05,Normal Thursday,2.67,45.55941042,-122.6685226,45.52507854,-122.6775563
Subscriber,2019-07-01,00:10:47,Normal Thursday,1.75,45.5376746,-122.6968843,45.52507854,-122.6775563
Subscriber,2019-07-01,00:32:25,Normal Thursday,4.95,45.5266787,-122.6735353,45.52536699,-122.6725459
Casual,2019-07-01,00:17:19,Normal Thursday,1.77,45.52871176,-122.674166,45.50971347,-122.6777159
