NEWID,PRINEARN,FINLWT21,FINCBTAX,BLS_URBN,POPSIZE,EDUC_REF,EDUCA2,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,HISP_REF,HISP2,FAM_TYPE,MARITAL1,REGION,SMSASTAT,HIGH_EDU,EHOUSNGC,TOTEXPCQ,FOODCQ,TRANSCQ,HEALTHCQ,ENTERTCQ,EDUCACQ,TOBACCCQ,STUDFINX,IRAX,CUTENURE,FAM_SIZE,VEHQ,ROOMSQ,INC_HRS1,INC_HRS2,EARNCOMP,NO_EARNR,OCCUCOD1,OCCUCOD2,STATE,DIVISION,TOTXEST,CREDFINX,CREDITB,CREDITX,BUILDING,ST_HOUS,INT_PHON,INT_HOME
03531581,01,23248.515,34000,1,3,12,,41,NA,2,NA,1,NA,2,NA,8,1,2,1,12,1071,2540,238.3333,20,440,80,0,303.3333,NA,NA,4,1,1,4,40,NA,1,1,10,,39,3,3390,NA,NA,NA,01,2,,
03531661,02,18964.992,160000,1,2,13,,26,NA,1,NA,1,NA,2,NA,9,5,4,1,13,2723,7858.3167,2275,50,698,192,0,0,NA,NA,4,4,0,6,20,NA,4,3,05,,06,9,30942,NA,NA,NA,08,2,,
03531671,01,18815.219,117449,1,1,16,13,74,63,2,1,1,1,2,2,1,1,1,1,16,2139.667,6811.5,1083.3333,167,1417,305,0,0,NA,NA,4,2,0,3,35,27,2,2,01,03,36,2,18648,NA,NA,NA,08,2,,
03531691,01,18089.416,45000,1,2,15,,30,NA,1,NA,1,NA,2,NA,8,5,4,1,15,1075,2286.9167,585,50,0,80,0,0,NA,NA,4,1,0,3,43,NA,1,1,06,,08,8,6342,NA,NA,NA,07,2,,
03531731,01,10528.733,13738,1,2,13,,65,NA,2,NA,2,NA,2,NA,8,5,2,1,13,425,840,104,156,0,135,0,0,NA,NA,4,1,1,3,NA,NA,8,0,,,39,3,0,NA,NA,NA,08,2,,
03531751,01,17009.872,9788,1,1,11,11,27,27,2,1,1,1,1,1,2,1,3,1,11,690,2062.0333,996.6667,200,0,0,0,60.6667,NA,NA,4,5,1,5,40,NA,1,1,11,,48,7,0,NA,NA,NA,01,2,,
03531761,01,28581.125,95000,1,1,16,16,43,44,2,1,2,2,2,2,3,1,3,1,16,583.333,2560.6667,633.3333,286.6667,320,65,0,0,NA,NA,2,4,3,7,40,40,2,2,12,11,13,5,11506,NA,NA,NA,01,2,,
03531804,01,20300.427,32000,1,3,10,,43,NA,1,NA,1,NA,1,NA,8,1,2,1,10,671.667,2112.3333,346.6667,890,0,0,0,0,NA,0,4,1,0,4,84,NA,1,1,10,,19,4,4033,NA,NA,NA,01,2,,
03531821,01,18706.652,115000,1,2,16,16,59,57,1,2,1,1,2,2,4,1,3,1,16,1760.667,4162.8334,845,120,400,246,0,0,NA,NA,1,3,2,7,60,NA,4,2,05,,37,5,14942,NA,NA,NA,01,2,,
03531831,01,35477.881,23982,1,5,12,,77,NA,1,NA,1,NA,2,NA,9,2,NA,2,13,634,2401.9167,588.3333,285,449.8,50,0,129,NA,NA,2,2,3,6,10,NA,7,1,13,,,NA,1894,NA,NA,NA,01,2,,
03531841,01,27654.791,2924,1,2,12,12,48,48,1,2,1,1,2,2,1,1,1,1,12,364.333,1699.7334,325,150,516.9333,75,0,0,NA,NA,2,2,2,7,30,NA,1,1,10,,42,2,581,NA,NA,NA,01,2,,
03531861,01,21355.175,35276,1,1,12,12,81,78,1,2,1,1,2,2,1,1,3,1,12,643.667,2024.9333,541.6667,396,243.6,130,0,0,NA,NA,2,2,2,4,NA,NA,8,0,,,48,7,0,NA,NA,NA,01,2,,
03531891,01,24638.893,1462,1,2,15,15,75,61,1,2,1,1,2,2,1,1,3,1,15,2621.667,4141.9833,512,199.3333,421.8,85,0,0,NA,NA,2,2,4,6,NA,40,5,1,,03,37,5,10325,NA,NA,NA,01,2,,
03531911,02,17774.365,42290,1,4,12,13,51,39,1,2,1,1,2,2,5,1,3,1,13,1042.667,2390.6667,82.3333,241.3333,576,88,0,69.3333,NA,NA,4,7,4,7,40,40,2,2,10,06,37,5,-5091,NA,NA,NA,09,2,,
03531931,01,18935.071,133000,1,4,13,12,48,47,1,2,1,1,2,2,4,1,4,1,13,2092.333,6422.25,961.3333,833.6667,778,374,0,130,NA,NA,1,3,6,10,45,55,3,3,01,05,49,8,21226,NA,NA,NA,01,2,,
03531941,02,29165.459,107000,1,2,16,12,28,32,2,1,1,1,2,2,2,1,4,1,16,1649,6314.0393,590,213.3333,876.6667,136,0,86.6667,NA,NA,4,3,3,6,40,80,2,2,03,03,06,9,22501,NA,NA,NA,04,2,,
03531961,01,23544.591,117002,1,1,16,,71,NA,2,NA,1,NA,2,NA,9,5,1,1,16,969,3635.2667,433.3333,155.3333,541,130,0,0,NA,NA,2,2,2,10,40,NA,4,2,01,,42,2,23305,NA,NA,NA,01,2,,
03531971,01,23264.545,200,1,2,16,16,43,43,1,2,1,1,2,2,3,1,2,1,16,1209,3885.2167,624.6667,267.3333,390,80,0,0,NA,NA,1,4,2,9,70,50,2,2,01,02,55,3,29773,NA,NA,NA,01,2,,
03531991,02,20746.876,146000,1,2,14,,27,NA,1,NA,1,NA,1,NA,9,5,4,1,15,1937,5602.0833,870,1122,230,279,0,0,NA,NA,1,2,1,6,40,NA,4,2,01,,04,8,25958,NA,NA,NA,01,2,,
03532021,01,5245.988,140000,1,3,16,16,38,38,1,2,1,1,2,2,2,1,4,1,16,6674,12001.8333,2903.3333,493,0,114,0,0,NA,NA,4,5,2,4,70,46,2,2,15,02,15,9,22012,NA,NA,NA,04,2,,
03532041,01,21992.016,84000,1,2,13,12,45,43,1,2,1,1,1,1,4,1,4,1,13,1675,4331.1666,325,820,300,87,0,0,NA,NA,4,3,1,6,40,40,2,2,11,04,06,9,9929,NA,NA,NA,01,2,,
03532051,02,15227.944,3039,1,1,11,,87,NA,2,NA,4,NA,2,NA,8,2,1,1,11,205,768.3333,563.3333,0,0,0,0,0,NA,NA,4,1,0,5,NA,NA,8,0,,,36,2,0,NA,NA,NA,07,2,,
03532061,01,21508.593,84000,1,2,13,,30,NA,1,NA,1,NA,2,NA,9,3,4,1,15,1614,6337.8333,730,1019,850,643,106,0,NA,NA,4,2,1,4,50,NA,4,2,01,,06,9,11206,NA,NA,NA,08,2,,
03532071,01,26539.624,5924,1,3,10,12,67,73,2,1,1,1,2,2,5,1,3,1,12,613.667,4635.5,541.6667,2333.3333,519.6,135,0,303.3333,NA,NA,2,4,2,8,NA,NA,7,2,,,12,5,-6226,NA,NA,NA,01,2,,
03532081,01,22773.511,24360,1,3,15,,39,NA,2,NA,1,NA,2,NA,7,3,3,1,15,1237.333,4113.0833,966.6667,646,0,237,0,0,NA,NA,1,3,1,6,40,NA,4,2,03,,47,6,-1560,NA,NA,NA,01,2,,
03532101,01,21663.968,0,1,2,16,,38,NA,1,NA,1,NA,2,NA,9,5,1,1,16,1070,42844.1334,563.3333,193.3333,125,100,40000,0,NA,NA,4,2,1,3,40,NA,1,1,01,,25,1,26800,NA,NA,NA,07,2,,
03532131,01,18964.399,0,1,2,15,15,54,56,2,1,2,2,2,2,1,1,4,1,15,1520,4001.0166,433.3333,447.6667,0,195,0,65,NA,NA,4,2,2,4,40,40,2,2,03,03,06,9,25839,NA,NA,NA,02,2,,
03532141,01,16450.769,0,1,1,14,,50,NA,2,NA,2,NA,2,NA,9,5,4,1,14,713,2429.6167,602.3333,562.6667,169,14,0,0,NA,NA,1,2,1,7,40,NA,4,2,04,,06,9,9368,NA,NA,NA,01,2,,
03532161,01,22286.047,242000,1,2,15,12,52,54,1,2,1,1,2,2,1,1,4,1,15,6622.333,10582,996.6667,535.3333,490,2407,0,0,NA,NA,1,2,2,8,55,40,2,2,03,03,06,9,61174,NA,NA,NA,01,2,,
03532181,02,14513.566,233500,1,1,16,16,40,34,1,2,4,4,2,2,2,1,1,1,16,2061,8428.5832,845,966,628.3333,235,290,0,NA,NA,4,3,2,4,40,35,2,2,10,03,34,2,49515,NA,NA,NA,08,2,,
