NEWID,MEMBNO,AGE,SEX,EARNER,EARNTYPE,INC_HRSQ,INCOMEY,OCCUCODE,HISPANIC,MEMBRACE,PAYSTUB,SALARYX,WKSTATUS
03423953,1,46,2,1,1,36,1,03,NA,1,2,NA,1
03423953,2,21,1,1,4,32,1,05,NA,1,NA,NA,1
03423963,1,43,2,1,2,8,1,04,NA,1,2,30500,1
03423963,2,54,1,1,1,86,5,06,NA,1,2,NA,2
03423963,3,6,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03423973,2,34,2,1,1,40,1,03,NA,1,2,45000,1
03423973,3,2,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424023,1,57,1,1,1,55,1,01,NA,1,2,280500,1
03424023,2,54,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03424023,3,24,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03424073,1,31,1,1,1,40,1,03,NA,1,2,NA,1
03424093,1,59,2,1,2,15,1,05,NA,1,2,4700,1
03424093,2,57,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03424093,3,32,1,1,3,40,1,10,NA,1,2,NA,1
03424103,1,20,1,1,3,40,2,03,6,6,2,4000,1
03424113,1,53,2,1,1,40,1,04,NA,1,2,NA,1
03424143,1,69,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03424163,1,35,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03424163,2,36,1,1,1,50,5,03,NA,1,2,NA,2
03424163,3,6,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424163,4,2,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03424213,1,48,2,1,1,51,4,10,NA,1,2,27000,1
03424213,2,60,1,1,4,20,1,10,NA,2,2,NA,1
03424213,3,18,1,1,2,20,1,10,NA,6,2,NA,1
03424223,1,49,2,1,1,40,1,03,NA,1,NA,NA,1
03424223,2,51,1,1,1,45,1,03,NA,1,2,NA,1
03424233,1,57,1,1,1,40,1,10,NA,2,2,56000,1
03424233,2,14,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03424273,1,40,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03424273,2,40,1,1,1,40,1,10,NA,1,2,NA,1
